_id,Mechanism of Action,References,Creation Date,Update Date
678,"Allosteric interactions between central benzodiazepine receptors and gamma-aminobutyric acid (GABA) receptors potentiate the effects of GABA. As GABA is an inhibitory neurotransmitter, this results in increased inhibition of the ascending reticular activating system. Benzodiazepines, in this way, block the cortical and limbic arousal that occurs following stimulation of the reticular pathways.","A358 - Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6. (17139284)
A359 - Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34. (17016423)
A2102 - Hsin YL, Chuang MF, Shyu WC, Lin CY, Chen YH, Harnod T: Adult-onset autosomal dominant myoclonic epilepsy: report of a family with an overlooked epileptic syndrome. Seizure. 2007 Mar;16(2):160-5. Epub 2006 Dec 14. (17174115)
A2103 - Ryan SG, Dixon MJ, Nigro MA, Kelts KA, Markand ON, Terry JC, Shiang R, Wasmuth JJ, O'Connell P: Genetic and radiation hybrid mapping of the hyperekplexia region on chromosome 5q. Am J Hum Genet. 1992 Dec;51(6):1334-43. (1334371)
A9527 - Awad M, Gavish M: Peripheral-type benzodiazepine receptors in human cerebral cortex, kidney, and colon. Life Sci. 1991;49(16):1155-61. (1654492)",2009-07-22 22:37:13 UTC,2014-09-04 16:05:44 UTC
679,"Once hydroxylated to 25-hydroxydihydrotachysterol, the modified drug binds to the vitamin D receptor. The bound form of the vitamin D receptor serves a transcriptional regulator of bone matrix proteins, inducing the expression of osteocalcin and suppressing synthesis of type I collagen. Vitamin D (when bound to the vitamin D receptor) also stimulates the expression of a number of proteins involved in transporting calcium from the lumen of the intestine, across the epithelial cells and into blood. This stimulates intestinal calcium absorption and increases renal phosphate excretion. These are functions that are normally carried out by the parathyroid hormone.","A358 - Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6. (17139284)
A359 - Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34. (17016423)",2009-07-22 22:37:14 UTC,2014-09-04 16:21:45 UTC
680,"Perhexiline binds to the mitochondrial enzyme carnitine palmitoyltransferase (CPT)-1 and CPT-2. It acts by shifting myocardial substrate utilisation from long chain fatty acids to carbohydrates through inhibition of CPT-1 and, to a lesser extent, CPT-2, resulting in increased glucose and lactate utilization.","A308 - Wishart DS, Knox C, Guo AC, Cheng D, Shrivastava S, Tzur D, Gautam B, Hassanali M: DrugBank: a knowledgebase for drugs, drug actions and drug targets. Nucleic Acids Res. 2008 Jan;36(Database issue):D901-6. Epub 2007 Nov 29. (18048412)
A8530 - Ceccarelli SM, Chomienne O, Gubler M, Arduini A: Carnitine palmitoyltransferase (CPT) modulators: a medicinal chemistry perspective on 35 years of research. J Med Chem. 2011 May 12;54(9):3109-52. doi: 10.1021/jm100809g. Epub 2011 Apr 19. (21504156)",2009-07-22 22:37:14 UTC,2014-09-04 16:22:36 UTC
681,"Diphenhydramine competes with free histamine for binding at HA-receptor sites. This antagonizes the effects of histamine on HA-receptors, leading to a reduction of the negative symptoms brought on by histamine HA-receptor binding.","A365 - Chen X, Ji ZL, Chen YZ: TTD: Therapeutic Target Database. Nucleic Acids Res. 2002 Jan 1;30(1):412-5. (11752352)
A2110 - Piao H, Nagai S, Tsurumaki T, Niki T, Higuchi H: Potentiation by neuropeptide Y of histamine H1 receptor-mediated contraction in rat blood vessels. Vascul Pharmacol. 2007 Apr;46(4):260-70. Epub 2006 Oct 27. (17169617)
A2111 - Kesiova M, Alexandrova A, Yordanova N, Kirkova M, Todorov S: Effects of diphenhydramine and famotidine on lipid peroxidation and activities of antioxidant enzymes in different rat tissues. Pharmacol Rep. 2006 Mar-Apr;58(2):221-8. (16702624)
A2112 - Hasala H, Moilanen E, Janka-Junttila M, Giembycz MA, Kankaanranta H: First-generation antihistamines diphenhydramine and chlorpheniramine reverse cytokine-afforded eosinophil survival by enhancing apoptosis. Allergy Asthma Proc. 2007 Jan-Feb;28(1):79-86. (17390763)
A2113 - Wang Z, Woolverton WL: Self-administration of cocaine-antihistamine combinations: super-additive reinforcing effects. Eur J Pharmacol. 2007 Feb 28;557(2-3):159-60. Epub 2006 Dec 1. (17196194)
A2114 - Ishikawa T, Takechi K, Rahman A, Ago J, Matsumoto N, Murakami A, Kamei C: Influences of histamine H1 receptor antagonists on maximal electroshock seizure in infant rats. Biol Pharm Bull. 2007 Mar;30(3):477-80. (17329841)
A9129 - Kanba S, Richelson E: Histamine H1 receptors in human brain labelled with [3H]doxepin. Brain Res. 1984 Jun 18;304(1):1-7. (6146381)
A9364 - Wagner E, Wittmann HJ, Elz S, Strasser A: Mepyramine-JNJ7777120-hybrid compounds show high affinity to hH(1)R, but low affinity to hH(4)R. Bioorg Med Chem Lett. 2011 Nov 1;21(21):6274-80. doi: 10.1016/j.bmcl.2011.09.001. Epub 2011 Sep 8. (21944853)
A9528 - Booth RG, Moniri NH, Bakker RA, Choksi NY, Nix WB, Timmerman H, Leurs R: A novel phenylaminotetralin radioligand reveals a subpopulation of histamine H(1) receptors. J Pharmacol Exp Ther. 2002 Jul;302(1):328-36. (12065734)
A9828 - Hosking MP, Lennon RL, Gronert GA: Combined H1 and H2 receptor blockade attenuates the cardiovascular effects of high-dose atracurium for rapid sequence endotracheal intubation. Anesth Analg. 1988 Nov;67(11):1089-92. (2461127)
A9897 - Nakahata N, Martin MW, Hughes AR, Hepler JR, Harden TK: H1-histamine receptors on human astrocytoma cells. Mol Pharmacol. 1986 Feb;29(2):188-95. (2419744)
A9898 - Aoki Y, Qiu D, Zhao GH, Kao PN: Leukotriene B4 mediates histamine induction of NF-kappaB and IL-8 in human bronchial epithelial cells. Am J Physiol. 1998 Jun;274(6 Pt 1):L1030-9. (9609743)",2009-07-22 22:37:14 UTC,2014-09-04 16:22:21 UTC
682,"It is believed that vigabatrin increases brain concentrations of gamma-aminobutyric acid (GABA), an inhibitory neurotransmitter in the CNS, by irreversibly inhibiting enzymes that catabolize GABA (gamma-aminobutyric acid transaminase GABA-T) or block the reuptake of GABA into glia and nerve endings. Vigabatrin may also work by suppressing repetitive neuronal firing through inhibition of voltage-sensitive sodium channels.","A365 - Chen X, Ji ZL, Chen YZ: TTD: Therapeutic Target Database. Nucleic Acids Res. 2002 Jan 1;30(1):412-5. (11752352)
A2119 - Weber OM, Verhagen A, Duc CO, Meier D, Leenders KL, Boesiger P: Effects of vigabatrin intake on brain GABA activity as monitored by spectrally edited magnetic resonance spectroscopy and positron emission tomography. Magn Reson Imaging. 1999 Apr;17(3):417-25. (10195585)
A2120 - Valdizan EM, Garcia AP, Armijo JA: Effects of increasing doses of vigabatrin on platelet gamma-aminobutyric acid-transaminase and brain gamma-aminobutyric acid in rats. Eur J Pharmacol. 1999 Mar 19;369(2):169-73. (10206175)
A2121 - Arndt CF, Derambure P, Defoort-Dhellemmes S, Hache JC: Outer retinal dysfunction in patients treated with vigabatrin. Neurology. 1999 Apr 12;52(6):1201-5. (10214744)
A2122 - Molina PE, Ahmed N, Ajmal M, Dewey S, Volkow N, Fowler J, Abumrad N: Co-administration of gamma-vinyl GABA and cocaine: preclinical assessment of safety. Life Sci. 1999;65(11):1175-82. (10503933)
A2123 - French JA: Vigabatrin. Epilepsia. 1999;40 Suppl 5:S11-6. (10530689)
A9529 - Pan Y, Qiu J, Silverman RB: Design, synthesis, and biological activity of a difluoro-substituted, conformationally rigid vigabatrin analogue as a potent gamma-aminobutyric acid aminotransferase inhibitor. J Med Chem. 2003 Dec 4;46(25):5292-3. (14640537)
A9530 - Pan Y, Gerasimov MR, Kvist T, Wellendorph P, Madsen KK, Pera E, Lee H, Schousboe A, Chebib M, Brauner-Osborne H, Craft CM, Brodie JD, Schiffer WK, Dewey SL, Miller SR, Silverman RB: (1S, 3S)-3-amino-4-difluoromethylenyl-1-cyclopentanoic acid (CPP-115), a potent gamma-aminobutyric acid aminotransferase inactivator for the treatment of cocaine addiction. J Med Chem. 2012 Jan 12;55(1):357-66. doi: 10.1021/jm201231w. Epub 2011 Dec 30. (22128851)",2009-07-22 22:37:14 UTC,2014-09-04 16:21:20 UTC
683,"Diphenoxylate is an opiate receptor agonists that stimulate mu receptors in GI to decrease the peristalsis and constrict the sphincters. Diphenoxylate has a direct effect on circular smooth muscle of the bowel, that conceivably results in segmentation and prolongation of gastrointestinal transit time. The clinical antidiarrheal action of diphenoxylate may thus be a consequence of enhanced segmentation that allows increased contact of the intraluminal contents with the intestinal mucosa.","A308 - Wishart DS, Knox C, Guo AC, Cheng D, Shrivastava S, Tzur D, Gautam B, Hassanali M: DrugBank: a knowledgebase for drugs, drug actions and drug targets. Nucleic Acids Res. 2008 Jan;36(Database issue):D901-6. Epub 2007 Nov 29. (18048412)",2009-07-22 22:37:14 UTC,2014-09-04 16:22:11 UTC
684,"Pilocarpine is a cholinergic parasympathomimetic agent. It increase secretion by the exocrine glands, and produces contraction of the iris sphincter muscle and ciliary muscle (when given topically to the eyes) by mainly stimulating muscarinic receptors.","A358 - Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6. (17139284)
A359 - Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34. (17016423)
A9531 - Mei L, Lai J, Yamamura HI, Roeske WR: Pharmacologic comparison of selected agonists for the M1 muscarinic receptor in transfected murine fibroblast cells (B82). J Pharmacol Exp Ther. 1991 Feb;256(2):689-94. (1704434)
A9762 - Jakubik J, Bacakova L, El-Fakahany EE, Tucek S: Positive cooperativity of acetylcholine and other agonists with allosteric ligands on muscarinic acetylcholine receptors. Mol Pharmacol. 1997 Jul;52(1):172-9. (9224827)",2009-07-22 22:37:14 UTC,2014-09-04 16:18:45 UTC
685,Benzocaine binds to sodium channel and reversibly stabilizes the neuronal membrane which decreases its permeability to sodium ions. Depolarization of the neuronal membrane is inhibited thereby blocking the initiation and conduction of nerve impulses.,"A358 - Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6. (17139284)
A359 - Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34. (17016423)",2009-07-22 22:37:15 UTC,2014-09-04 16:15:39 UTC
686,"The mechanism of dimethyl sulfoxide's actions is not well understood. Dimethyl sulfoxide has demonstrated antioxidant activity in certain biological settings. For example, the cardiovascular protective effect of dimethyl sulfoxide in copper-deficient rats is thought to occur by an antioxidant mechanism. It is also thought that dimethyl sulfoxide's possible anti-inflammatory activity is due to antioxidant action.","A308 - Wishart DS, Knox C, Guo AC, Cheng D, Shrivastava S, Tzur D, Gautam B, Hassanali M: DrugBank: a knowledgebase for drugs, drug actions and drug targets. Nucleic Acids Res. 2008 Jan;36(Database issue):D901-6. Epub 2007 Nov 29. (18048412)",2009-07-22 22:37:15 UTC,2014-09-04 16:22:53 UTC
687,"Although the exact mode of action is unknown, it has been proposed that flucytosine acts directly on fungal organisms by competitive inhibition of purine and pyrimidine uptake and indirectly by intracellular metabolism to 5-fluorouracil. Flucytosine enters the fungal cell via cytosine permease; thus, flucytosine is metabolized to 5-fluorouracil within fungal organisms. The 5-fluorouracil is extensively incorporated into fungal RNA and inhibits synthesis of both DNA and RNA. The result is unbalanced growth and death of the fungal organism. It also appears to be an inhibitor of fungal thymidylate synthase.","A308 - Wishart DS, Knox C, Guo AC, Cheng D, Shrivastava S, Tzur D, Gautam B, Hassanali M: DrugBank: a knowledgebase for drugs, drug actions and drug targets. Nucleic Acids Res. 2008 Jan;36(Database issue):D901-6. Epub 2007 Nov 29. (18048412)",2009-07-22 22:37:18 UTC,2014-09-04 16:13:33 UTC
688,The ability of pimozide to suppress motor and phonic tics in Tourette's Disorder is thought to be primarily a function of its dopaminergic blocking activity. Pimozide binds to the dopamine D2 receptor in the CNS. It also appears to block voltage-operated calcium channels and acts as an antagonist at opiate receptors (OP2).,"A365 - Chen X, Ji ZL, Chen YZ: TTD: Therapeutic Target Database. Nucleic Acids Res. 2002 Jan 1;30(1):412-5. (11752352)
A792 - Seeman P: Atypical antipsychotics: mechanism of action. Can J Psychiatry. 2002 Feb;47(1):27-38. (11873706)
A2124 - Silva MR, Bernardi MM, Cruz-Casallas PE, Felicio LF: Pimozide injections into the Nucleus accumbens disrupt maternal behaviour in lactating rats. Pharmacol Toxicol. 2003 Jul;93(1):42-7. (12828573)
A2125 - Muscat R, Sampson D, Willner P: Dopaminergic mechanism of imipramine action in an animal model of depression. Biol Psychiatry. 1990 Aug 1;28(3):223-30. (2378927)
A2126 - Zarrindast MR, Heidari MR: On the mechanisms by which theophylline changes core body temperature in mice. Eur J Pharmacol. 1994 May 12;257(1-2):13-20. (8082693)
A2127 - Freedman SB, Patel S, Marwood R, Emms F, Seabrook GR, Knowles MR, McAllister G: Expression and pharmacological characterization of the human D3 dopamine receptor. J Pharmacol Exp Ther. 1994 Jan;268(1):417-26. (8301582)
A9408 - Mattsson C, Andreasson T, Waters N, Sonesson C: Systematic in vivo screening of a series of 1-propyl-4-arylpiperidines against dopaminergic and serotonergic properties in rat brain: a scaffold-jumping approach. J Med Chem. 2012 Nov 26;55(22):9735-50. doi: 10.1021/jm300975f. Epub 2012 Oct 17. (23043306)",2009-07-22 22:37:19 UTC,2014-09-04 16:22:19 UTC
689,"It is believed that sertraline inhibits reuptake of serotonin at the neuronal membrane. SSRIs have less sedative, anticholinergic, and cardiovascular effects than the tricyclic antidepressant drugs because of decreased binding to histamine, acetylcholine, and norepinephrine receptors.","A2156 - Benmansour S, Cecchi M, Morilak DA, Gerhardt GA, Javors MA, Gould GG, Frazer A: Effects of chronic antidepressant treatments on serotonin transporter function, density, and mRNA level. J Neurosci. 1999 Dec 1;19(23):10494-501. (10575045)
A2157 - Benmansour S, Owens WA, Cecchi M, Morilak DA, Frazer A: Serotonin clearance in vivo is altered to a greater extent by antidepressant-induced downregulation of the serotonin transporter than by acute blockade of this transporter. J Neurosci. 2002 Aug 1;22(15):6766-72. (12151556)
A2158 - Borkowska A, Pilaczynska E, Araszkiewicz A, Rybakowski J: [The effect of sertraline on cognitive functions in patients with obsessive-compulsive disorder]. Psychiatr Pol. 2002 Nov-Dec;36(6 Suppl):289-95. (12647451)
A2159 - Durham LK, Webb SM, Milos PM, Clary CM, Seymour AB: The serotonin transporter polymorphism, 5HTTLPR, is associated with a faster response time to sertraline in an elderly population with major depressive disorder. Psychopharmacology (Berl). 2004 Aug;174(4):525-9. Epub 2003 Sep 4. (12955294)
A2160 - Chen F, Larsen MB, Neubauer HA, Sanchez C, Plenge P, Wiborg O: Characterization of an allosteric citalopram-binding site at the serotonin transporter. J Neurochem. 2005 Jan;92(1):21-8. (15606893)
A8193 - Carlier PR, Lo MM, Lo PC, Richelson E, Tatsumi M, Reynolds IJ, Sharma TA: Synthesis of a potent wide-spectrum serotonin-, norepinephrine-, dopamine-reuptake inhibitor (SNDRI) and a species-selective dopamine-reuptake inhibitor based on the gamma-amino alcohol functional group. Bioorg Med Chem Lett. 1998 Mar 3;8(5):487-92. (9871604)
A8535 - Shao L, Wang F, Malcolm SC, Ma J, Hewitt MC, Campbell UC, Bush LR, Spicer NA, Engel SR, Saraswat LD, Hardy LW, Koch P, Schreiber R, Spear KL, Varney MA: Synthesis and pharmacological evaluation of 4-(3,4-dichlorophenyl)-N-methyl-1,2,3,4-tetrahydronaphthalenyl amines as triple reuptake inhibitors. Bioorg Med Chem. 2011 Jan 1;19(1):663-76. doi: 10.1016/j.bmc.2010.10.034. Epub 2010 Oct 21. (21093273)
A8536 - Middleton DS, Andrews M, Glossop P, Gymer G, Jessiman A, Johnson PS, Mackenny M, Pitcher MJ, Rooker T, Stobie A, Tang K, Morgan P: Designing rapid onset selective serotonin re-uptake inhibitors. Part 1: Structure-activity relationships of substituted (1S,4S)-4-(3,4-dichlorophenyl)-N-methyl-1,2,3,4-tetrahydro-1-naphthaleneamine. Bioorg Med Chem Lett. 2006 Mar 1;16(5):1434-9. Epub 2005 Nov 28. (16314097)",2009-07-22 22:37:19 UTC,2014-09-04 16:22:02 UTC
690,"Sibutramine produces its therapeutic effects by norepinephrine (NE), serotonin reuptake (5-hydroxytryptamine, 5-HT) and dopamine reuptake inhibition. Sibutramine and its major pharmacologically active metabolites (M1 and M2) do not act via release of monoamines.","A2166 - Vazquez Roque MI, Camilleri M, Clark MM, Tepoel DA, Jensen MD, Graszer KM, Kalsy SA, Burton DD, Baxter KL, Zinsmeister AR: Alteration of gastric functions and candidate genes associated with weight reduction in response to sibutramine. Clin Gastroenterol Hepatol. 2007 Jul;5(7):829-37. Epub 2007 Jun 4. (17544870)",2009-07-22 22:37:20 UTC,2014-09-04 16:22:02 UTC
691,"Methyprylon binds at a distinct binding site associated with a Cl<sup>-</sup> ionopore at the GABA<sub>A</sub> receptor, increasing the duration of time for which the Cl<sup>-</sup> ionopore is open. The post-synaptic inhibitory effect of GABA in the thalamus is, therefore, prolonged.","A358 - Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6. (17139284)
A359 - Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34. (17016423)",2009-07-22 22:37:20 UTC,2014-09-04 16:05:44 UTC
692,"Miconazole interacts with 14-&alpha; demethylase, a cytochrome P-450 enzyme necessary to convert lanosterol to ergosterol. As ergosterol is an essential component of the fungal cell membrane, inhibition of its synthesis results in increased cellular permeability causing leakage of cellular contents. Miconazole may also inhibit endogenous respiration, interact with membrane phospholipids, inhibit the transformation of yeasts to mycelial forms, inhibit purine uptake, and impair triglyceride and/or phospholipid biosynthesis.","A308 - Wishart DS, Knox C, Guo AC, Cheng D, Shrivastava S, Tzur D, Gautam B, Hassanali M: DrugBank: a knowledgebase for drugs, drug actions and drug targets. Nucleic Acids Res. 2008 Jan;36(Database issue):D901-6. Epub 2007 Nov 29. (18048412)",2009-07-22 22:37:20 UTC,2014-09-04 16:05:13 UTC
693,"Chlorpheniramine binds to the histamine H1 receptor. This blocks the action of endogenous histamine, which subsequently leads to temporary relief of the negative symptoms brought on by histamine.","A365 - Chen X, Ji ZL, Chen YZ: TTD: Therapeutic Target Database. Nucleic Acids Res. 2002 Jan 1;30(1):412-5. (11752352)
A1023 - Salata JJ, Jurkiewicz NK, Wallace AA, Stupienski RF 3rd, Guinosso PJ Jr, Lynch JJ Jr: Cardiac electrophysiological actions of the histamine H1-receptor antagonists astemizole and terfenadine compared with chlorpheniramine and pyrilamine. Circ Res. 1995 Jan;76(1):110-9. (8001268)
A2170 - Tagawa M, Kano M, Okamura N, Higuchi M, Matsuda M, Mizuki Y, Arai H, Iwata R, Fujii T, Komemushi S, Ido T, Itoh M, Sasaki H, Watanabe T, Yanai K: Neuroimaging of histamine H1-receptor occupancy in human brain by positron emission tomography (PET): a comparative study of ebastine, a second-generation antihistamine, and (+)-chlorpheniramine, a classical antihistamine. Br J Clin Pharmacol. 2001 Nov;52(5):501-9. (11736858)
A2171 - Hasenohrl RU, Kuhlen A, Frisch C, Galosi R, Brandao ML, Huston JP: Comparison of intra-accumbens injection of histamine with histamine H1-receptor antagonist chlorpheniramine in effects on reinforcement and memory parameters. Behav Brain Res. 2001 Oct 15;124(2):203-11. (11640974)
A2172 - Yasuda SU, Wellstein A, Likhari P, Barbey JT, Woosley RL: Chlorpheniramine plasma concentration and histamine H1-receptor occupancy. Clin Pharmacol Ther. 1995 Aug;58(2):210-20. (7648771)
A2173 - Nicholson AN, Pascoe PA, Turner C, Ganellin CR, Greengrass PM, Casy AF, Mercer AD: Sedation and histamine H1-receptor antagonism: studies in man with the enantiomers of chlorpheniramine and dimethindene. Br J Pharmacol. 1991 Sep;104(1):270-6. (1686208)
A8255 - Procopiou PA, Browning C, Buckley JM, Clark KL, Fechner L, Gore PM, Hancock AP, Hodgson ST, Holmes DS, Kranz M, Looker BE, Morriss KM, Parton DL, Russell LJ, Slack RJ, Sollis SL, Vile S, Watts CJ: The discovery of phthalazinone-based human H1 and H3 single-ligand antagonists suitable for intranasal administration for the treatment of allergic rhinitis. J Med Chem. 2011 Apr 14;54(7):2183-95. doi: 10.1021/jm1013874. Epub 2011 Mar 7. (21381763)
A8538 - Sleevi MC, Cale AD Jr, Gero TW, Jaques LW, Welstead WJ, Johnson AF, Kilpatrick BF, Demian I, Nolan JC, Jenkins H: Optical isomers of rocastine and close analogues: synthesis and H1 antihistaminic activity of its enantiomers and their structural relationship to the classical antihistamines. J Med Chem. 1991 Apr;34(4):1314-28. (1673158)
A8539 - Kelly JX, Smilkstein MJ, Cooper RA, Lane KD, Johnson RA, Janowsky A, Dodean RA, Hinrichs DJ, Winter R, Riscoe M: Design, synthesis, and evaluation of 10-N-substituted acridones as novel chemosensitizers in Plasmodium falciparum. Antimicrob Agents Chemother. 2007 Nov;51(11):4133-40. Epub 2007 Sep 10. (17846138)
A9129 - Kanba S, Richelson E: Histamine H1 receptors in human brain labelled with [3H]doxepin. Brain Res. 1984 Jun 18;304(1):1-7. (6146381)
A9152 - Richelson E, Nelson A: Antagonism by neuroleptics of neurotransmitter receptors of normal human brain in vitro. Eur J Pharmacol. 1984 Aug 17;103(3-4):197-204. (6149136)
A9305 - Moguilevsky N, Varsalona F, Noyer M, Gillard M, Guillaume JP, Garcia L, Szpirer C, Szpirer J, Bollen A: Stable expression of human H1-histamine-receptor cDNA in Chinese hamster ovary cells. Pharmacological characterisation of the protein, tissue distribution of messenger RNA and chromosomal localisation of the gene. Eur J Biochem. 1994 Sep 1;224(2):489-95. (7925364)
A9528 - Booth RG, Moniri NH, Bakker RA, Choksi NY, Nix WB, Timmerman H, Leurs R: A novel phenylaminotetralin radioligand reveals a subpopulation of histamine H(1) receptors. J Pharmacol Exp Ther. 2002 Jul;302(1):328-36. (12065734)
A9532 - Moguilevsky N, Varsalona F, Guillaume JP, Noyer M, Gillard M, Daliers J, Henichart JP, Bollen A: Pharmacological and functional characterisation of the wild-type and site-directed mutants of the human H1 histamine receptor stably expressed in CHO cells. J Recept Signal Transduct Res. 1995 Jan-Mar;15(1-4):91-102. (8903934)
A9822 - Ruck LM, Rizzo CA, Anthes JC, Eckel S, Egan RW, Cuss FM, Hey JA: Synergistic antiallergic activity of combined histamine H1- and cysteinyl leukotriene1-receptor blockade in human bronchus. Life Sci. 2001 May 11;68(25):2825-34. (11432448)",2009-07-22 22:37:21 UTC,2014-09-04 16:22:21 UTC
694,Phenacemide binds to and blocks neuronal sodium channels or voltage sensitive calcium channels. This blocks or suppresses neuronal depolarization and hypersynchronization. Hypersynchronization is what often causes seizures.,"A358 - Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6. (17139284)
A359 - Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34. (17016423)",2009-07-22 22:37:21 UTC,2014-09-04 16:15:20 UTC
695,"Ambenonium exerts its actions against myasthenia gravis by competitive, reversible inhibition of acetylcholinesterase. The disease myasthenia gravis occurs when the body inappropriately produces antibodies against acetylcholine receptors, and thus inhibits proper acetylcholine signal transmission (when acetylcholine binds to acetylcholine receptors of striated muscle fibers, it stimulates those fibers to contract). Ambenonium reversibly binds acetylcholinesterase, and as acetylcholinesterase is responsible for the hydrolysis of acetylcholine, this inhibition increases levels of acetylcholine. In turn this facilitates transmission of impulses across the myoneural junction and effectively treats the disease.","A2176 - Lockhart B, Closier M, Howard K, Steward C, Lestage P: Differential inhibition of [3H]-oxotremorine-M and [3H]-quinuclinidyl benzilate binding to muscarinic receptors in rat brain membranes with acetylcholinesterase inhibitors. Naunyn Schmiedebergs Arch Pharmacol. 2001 Apr;363(4):429-38. (11330337)
A2177 - Hodge AS, Humphrey DR, Rosenberry TL: Ambenonium is a rapidly reversible noncovalent inhibitor of acetylcholinesterase, with one of the highest known affinities. Mol Pharmacol. 1992 May;41(5):937-42. (1588924)
A2178 - Papp MI, Komoly S, Szirmai IG, Kovacs T: Similarities between CSF-brain extracellular transfer and neurofibrillary tangle invasion in Alzheimer's disease. Neurobiol Aging. 2006 Mar;27(3):402-12. Epub 2005 Jun 27. (15982786)
A2179 - Kenakin TP, Beek D: Self-cancellation of drug properties as a mode of organ selectivity: the antimuscarinic effects of ambenonium. J Pharmacol Exp Ther. 1985 Mar;232(3):732-40. (2857786)
A2180 - Webb GD: Affinity of benzoquinonium and ambenonium derivatives for the acetylcholine receptor, tested on the electroplax, and for acetylcholinesterase in solution. Biochim Biophys Acta. 1965 May 25;102(1):172-84. (5833399)",2009-07-22 22:37:21 UTC,2014-09-04 16:14:04 UTC
696,"The mechanism of action of doxepin is not completely understood. It is thought that Like amitriptyline, doxepin enhances the actions of norepinephrine and serotonin by blocking their reuptake at the neuronal membrane. Doxepin may also act on histamine H<sub>1</sub>-receptors, resulting in sedative effects, and beta-adrenergic receptors.","A358 - Overington JP, Al-Lazikani B, Hopkins AL: How many drug targets are there? Nat Rev Drug Discov. 2006 Dec;5(12):993-6. (17139284)
A359 - Imming P, Sinning C, Meyer A: Drugs, their targets and the nature and number of drug targets. Nat Rev Drug Discov. 2006 Oct;5(10):821-34. (17016423)",2009-07-22 22:37:21 UTC,2014-09-04 16:22:02 UTC
697,"Within the serotonergic system, nefazodone acts as an antagonist at type 2 serotonin (5-HT<sub>2</sub>) post-synaptic receptors and, like fluoxetine-type antidepressants, inhibits pre-synaptic serotonin (5-HT) reuptake. These mechanisms increase the amount of serotonin available to interact with 5-HT receptors. Within the noradrenergic system, nefazodone inhibits norepinephrine uptake minimally. Nefazodone also antagonizes alpha(1)-adrenergic receptors, producing sedation, muscle relaxation, and a variety of cardiovascular effects. Nefazodone's affinity for benzodiazepine, cholinergic, dopaminergic, histaminic, and beta or alpha(2)-adrenergic receptors is not significant.","A2190 - Hidalgo R, Hertzberg MA, Mellman T, Petty F, Tucker P, Weisler R, Zisook S, Chen S, Churchill E, Davidson J: Nefazodone in post-traumatic stress disorder: results from six open-label trials. Int Clin Psychopharmacol. 1999 Mar;14(2):61-8. (10220119)
A2191 - Meyer JH, Cho R, Kennedy S, Kapur S: The effects of single dose nefazodone and paroxetine upon 5-HT2A binding potential in humans using [18F]-setoperone PET. Psychopharmacology (Berl). 1999 Jun;144(3):279-81. (10435395)
A2192 - Horton JC, Trobe JD: Akinetopsia from nefazodone toxicity. Am J Ophthalmol. 1999 Oct;128(4):530-1. (10577608)
A2193 - Eckler JR, Rabin RA, Winter JC: Nefazodone in the rat: mimicry and antagonism of [-]-DOM-induced stimulus control. Pharmacol Biochem Behav. 2003 May;75(2):405-10. (12873632)
A2194 - Avila A, Cardona X, Martin-Baranera M, Maho P, Sastre F, Bello J: Does nefazodone improve both depression and Parkinson disease? A pilot randomized trial. J Clin Psychopharmacol. 2003 Oct;23(5):509-13. (14520130)
A9173 - Seo HJ, Park EJ, Kim MJ, Kang SY, Lee SH, Kim HJ, Lee KN, Jung ME, Lee M, Kim MS, Son EJ, Park WK, Kim J, Lee J: Design and synthesis of novel arylpiperazine derivatives containing the imidazole core targeting 5-HT(2A) receptor and 5-HT transporter. J Med Chem. 2011 Sep 22;54(18):6305-18. doi: 10.1021/jm200682b. Epub 2011 Aug 23. (21823597)",2009-07-22 22:37:22 UTC,2014-09-04 16:20:51 UTC
